Seller,Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,Eigenvalue 5,Eigenvalue 6,Eigenvalue 7,Eigenvalue 8,Eigenvalue 9,Eigenvalue 10
stop_signs_embeddings.pt,5.455079723531754,3.3325422931713935,2.8022043472826677,1.9746089324165963,1.5321209515504224,1.290984389536655,1.035501768501894,0.7414866912317032,0.6778288663923913,0.3838806018596099
Kindle_Review_embeddings.pt,2.7770627244759107,1.359583062743522,1.2993229284676162,0.5618684362655032,0.48809066315038574,0.2904589470271427,0.2662352867969218,0.24309263091758004,0.22076709776903772,0.2059761201051995
Amazon_Food_embeddings.pt,1.5031364344700453,1.3297414201305828,0.9653586964691128,0.8238483129544811,0.7539997579865552,0.6930281761548457,0.5863157191673679,0.5777449059756169,0.49285731229421453,0.4169831663013873
chest_xray_images_embeddings.pt,0.634156413650123,0.5598900428596696,0.4710028231554024,0.22262131788028094,0.18340674285924122,0.16767263086436068,0.11149500488456844,0.10379893246373532,0.07883695570239067,0.07834118842577552
Spanish_Hotel_Reviews_embeddings.pt,2.4285962330180335,0.9928012349130632,0.7668878991514554,0.704247260563717,0.46432816796161586,0.396918273659449,0.3567771677110166,0.2895669021696542,0.27643133981196344,0.2548613036052776
pokemon_images_embeddings.pt,1.8926132435571352,1.2677643771654938,0.9569842086771839,0.8222921336361544,0.7482255858155572,0.6825000980018638,0.6360767928264915,0.5745255922979913,0.5111090696560964,0.47412277102713746
